modelname	src_lang	tgt_lang
facebook/wmt19-ru-en	ru	en
facebook/wmt21-dense-24-wide-en-x	de	de
facebook/wmt21-dense-24-wide-en-x	en	en
facebook/wmt21-dense-24-wide-en-x	de	de
facebook/wmt21-dense-24-wide-en-x	en	en
facebook/wmt21-dense-24-wide-en-x	de	de
facebook/wmt21-dense-24-wide-en-x	en	en
facebook/wmt21-dense-24-wide-en-x	de	de
facebook/wmt21-dense-24-wide-en-x	en	en
facebook/wmt21-dense-24-wide-en-x	de	de
facebook/wmt21-dense-24-wide-en-x	en	en
facebook/wmt21-dense-24-wide-en-x	de	de
facebook/wmt21-dense-24-wide-en-x	en	en
facebook/wmt21-dense-24-wide-en-x	de	de
facebook/wmt21-dense-24-wide-en-x	en	en
facebook/wmt21-dense-24-wide-en-x	de	en
facebook/wmt21-dense-24-wide-x-en	de	de
facebook/wmt21-dense-24-wide-x-en	en	en
facebook/wmt21-dense-24-wide-x-en	de	de
facebook/wmt21-dense-24-wide-x-en	en	en
facebook/wmt21-dense-24-wide-x-en	de	de
facebook/wmt21-dense-24-wide-x-en	en	en
facebook/wmt21-dense-24-wide-x-en	de	de
facebook/wmt21-dense-24-wide-x-en	en	en
facebook/wmt21-dense-24-wide-x-en	de	de
facebook/wmt21-dense-24-wide-x-en	en	en
facebook/wmt21-dense-24-wide-x-en	de	de
facebook/wmt21-dense-24-wide-x-en	en	en
facebook/wmt21-dense-24-wide-x-en	de	de
facebook/wmt21-dense-24-wide-x-en	en	en
facebook/wmt21-dense-24-wide-x-en	de	en
google/bert2bert_L-24_wmt_de_en	de	en
google/bert2bert_L-24_wmt_en_de	en	de
gsarti/opus-mt-tc-en-pl	en	pl
guocheng98/HelsinkiNLP-FineTuned-Legal-es-zh	es	zh
ken11/mbart-ja-en	ja	en
liam168/trans-opus-mt-en-zh	en	zh
liam168/trans-opus-mt-zh-en	zh	en
lighteternal/SSE-TUC-mt-el-en-cased	el	en
lighteternal/SSE-TUC-mt-el-en-lowercase	el	en
lighteternal/SSE-TUC-mt-en-el-cased	en	el
lighteternal/SSE-TUC-mt-en-el-lowercase	en	el
marefa-nlp/marefa-mt-en-ar	en	ar
mrm8488/mbart-large-finetuned-bible-es-en-translation	es	en
mrm8488/mbart-large-finetuned-opus-en-es-translation	en	es
mrm8488/mbart-large-finetuned-opus-es-en-translation	es	en
mrm8488/mbart-large-finetuned-opus-it-en-translation	it	en
softcatala/opennmt-cat-deu	ca	de
softcatala/opennmt-cat-eng	ca	en
softcatala/opennmt-deu-cat	de	ca
softcatala/opennmt-eng-cat	en	ca
sshleifer/opus-mt-en-he	en	he
thilina/mt5-sinhalese-english	si	en
tiedeman/opus-mt-en-he	en	he
tiedeman/opus-mt-he-en	he	en
unicamp-dl/translation-en-pt-t5	en	pt
unicamp-dl/translation-pt-en-t5	pt	en
mt-empty/english-assyrian	en	as
kurianbenoy/kde_en_ml_translation_model	en	ml
JavierIA/es-en	es	en
mideind/tokenizer-mbart-25-enis	en	is
staka/fugumt-en-ja	en	ja
staka/fugumt-ja-en	ja	en
Rahulrr/language_model_en_he	en	he
Rahulrr/language_model_en_de	en	de
AbhirupGhosh/opus-mt-finetuned-en-hi	en	hi
AbhirupGhosh/opus-mt-finetuned-hi-en	hi	en
BubbleSheep/Hgn_trans_en2zh	en	zh
icon-it-tdtu/mt-en-vi-optimum	en	vi
icon-it-tdtu/mt-vi-en-optimum	vi	en
yhavinga/long-t5-local-small-ccmatrix-en-nl	en	nl
yhavinga/byt5-small-ccmatrix-en-nl	en	nl
csebuetnlp/banglat5_nmt_bn_en	bn	en
csebuetnlp/banglat5_nmt_en_bn	en	bn
samiulhaq/t-uren-iwslt	ur	en
gsarti/opus-mt-tc-base-en-hi	en	hi
gsarti/opus-mt-tc-base-en-ru	en	ru
gsarti/opus-mt-tc-base-en-ja	en	ja
gsarti/opus-mt-tc-base-en-nl	en	nl
gsarti/opus-mt-tc-big-en-de	en	de
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-myv-mul-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
slone/mbart-large-51-mul-myv-v1	ar	ar
Tritkoman/Kvenfinnishtranslator	en	fi
razwand/opus-mt-en-mul-finetuned_en_sp_translator	en	en
razwand/opus-mt-en-mul-finetuned_en_sp_translator	en	en
mideind/nmt-doc-en-is-2022-10	en	is
mideind/nmt-doc-is-en-2022-10	is	en
VietAI/envit5-translation	en	vi
teelinsan/opus-mt-eng-deu	en	de
lgrobol/m2m100_418M_br_fr	br	fr
JamesH/Translation_en_to_fr_project	en	fr
Sotaro0124/ai-ja	ai	ja
oskarandrsson/mt-en-sv-finetuned	en	sv
oskarandrsson/mt-sq-sv-finetuned	sq	sv
oskarandrsson/mt-hr-sv-finetuned	hr	sv
oskarandrsson/mt-lt-sv-finetuned	lt	sv
oskarandrsson/mt-uk-sv-finetuned	uk	sv
oskarandrsson/mt-bs-sv-finetuned	bs	sv
oskarandrsson/mt-ru-sv-finetuned	ru	sv
silsever/opus-mt-align-en-de	en	de
yhavinga/ul2-base-en-nl	en	nl
yhavinga/ul2-large-en-nl	en	nl
NYTK/translation-m2m100-1.2B-multi12-hungarian	sl	hu
NYTK/translation-nllb-200-3.3B-multi12-hungarian	sl	hu
samiulhaq/iwslt-bt-en-ur	en	ur
samiulhaq/iwslt-bt-ur-en	ur	en
yhavinga/ul2-base-nl36-en-nl	en	nl
yhavinga/ul2-base-nl36-en-nl	nl	nl
leightonllc/opus-mt-en-zh-wmt19-news	en	zh
